date;UBS_CHINA_EQUITY_FUND
23.01.2020;21340
24.01.2020;20745
27.01.2020;20593
28.01.2020;20506
29.01.2020;20660
30.01.2020;20428
31.01.2020;20141
03.02.2020;19984
04.02.2020;19711
05.02.2020;20392
06.02.2020;20576
07.02.2020;20873
10.02.2020;20718
11.02.2020;20718
12.02.2020;20992
13.02.2020;21120
14.02.2020;21041
17.02.2020;21048
18.02.2020;21134
19.02.2020;20923
20.02.2020;21284
21.02.2020;21465
24.02.2020;21465
25.02.2020;20658
26.02.2020;20519
27.02.2020;20438
28.02.2020;20332
02.03.2020;19603
03.03.2020;20066
04.03.2020;20027
05.03.2020;20207
06.03.2020;20408
09.03.2020;19251
10.03.2020;18796
11.03.2020;19289
12.03.2020;19163
13.03.2020;18635
16.03.2020;18825
17.03.2020;17861
18.03.2020;17988
19.03.2020;17700
20.03.2020;17700
23.03.2020;18191
24.03.2020;17590
25.03.2020;18567
26.03.2020;19088
27.03.2020;18882
30.03.2020;18666
31.03.2020;18660
01.04.2020;18692
02.04.2020;18390
03.04.2020;18664
06.04.2020;18731
07.04.2020;18956
08.04.2020;19296
09.04.2020;19119
10.04.2020;19191
13.04.2020;19120
14.04.2020;19073
15.04.2020;19229
16.04.2020;19278
17.04.2020;19310
20.04.2020;19449
21.04.2020;19382
22.04.2020;19171
23.04.2020;19340
24.04.2020;19310
27.04.2020;19110
28.04.2020;19348
29.04.2020;19348
30.04.2020;19659
01.05.2020;19670
04.05.2020;19670
05.05.2020;19670
06.05.2020;19670
07.05.2020;18392
08.05.2020;18432
11.05.2020;18824
12.05.2020;18997
13.05.2020;18893
14.05.2020;18858
15.05.2020;18849
18.05.2020;18709
19.05.2020;18896
20.05.2020;19184
21.05.2020;19155
22.05.2020;19140
25.05.2020;18450
26.05.2020;18553
27.05.2020;18785
28.05.2020;18744
29.05.2020;18513
01.06.2020;18719
02.06.2020;19045
03.06.2020;19621
04.06.2020;19841
05.06.2020;19908
08.06.2020;20197
09.06.2020;19972
10.06.2020;19925
11.06.2020;19905
12.06.2020;19543
15.06.2020;19629
16.06.2020;19354
17.06.2020;19629
18.06.2020;19674
19.06.2020;19754
22.06.2020;19939
23.06.2020;19884
24.06.2020;19984
25.06.2020;20145
26.06.2020;20162
29.06.2020;20137
30.06.2020;20037
01.07.2020;20235
02.07.2020;20144
03.07.2020;20834
06.07.2020;21259
07.07.2020;22102
08.07.2020;22242
09.07.2020;22526
10.07.2020;22993
13.07.2020;22603
14.07.2020;22852
15.07.2020;22402
16.07.2020;22576
17.07.2020;21853
20.07.2020;22196
21.07.2020;22405
22.07.2020;22750
23.07.2020;22750
24.07.2020;22750
27.07.2020;21682
28.07.2020;21631
29.07.2020;21891
30.07.2020;21989
31.07.2020;21828
03.08.2020;22139
04.08.2020;22281
05.08.2020;22426
06.08.2020;22534
07.08.2020;22643
10.08.2020;22643
11.08.2020;22007
12.08.2020;22262
13.08.2020;22201
14.08.2020;22301
17.08.2020;22254
18.08.2020;22292
19.08.2020;22366
20.08.2020;22324
21.08.2020;22079
24.08.2020;22255
25.08.2020;22656
26.08.2020;22823
27.08.2020;22939
28.08.2020;23143
31.08.2020;23073
01.09.2020;22995
02.09.2020;23201
03.09.2020;23443
04.09.2020;23093
07.09.2020;22724
08.09.2020;22380
09.09.2020;22400
10.09.2020;22145
11.09.2020;22212
14.09.2020;22474
15.09.2020;22621
16.09.2020;22698
17.09.2020;22652
18.09.2020;22371
21.09.2020;22371
22.09.2020;22371
23.09.2020;22242
24.09.2020;22320
25.09.2020;21923
28.09.2020;21780
29.09.2020;21971
30.09.2020;21969
01.10.2020;22107
02.10.2020;22130
05.10.2020;22111
06.10.2020;22199
07.10.2020;22390
08.10.2020;22549
09.10.2020;22503
12.10.2020;22720
13.10.2020;23097
14.10.2020;23099
15.10.2020;23110
16.10.2020;22923
19.10.2020;23104
20.10.2020;23007
21.10.2020;23182
22.10.2020;22970
23.10.2020;22778
26.10.2020;22632
27.10.2020;22637
28.10.2020;22362
29.10.2020;22493
30.10.2020;22627
02.11.2020;22247
03.11.2020;22247
04.11.2020;22498
05.11.2020;22560
06.11.2020;23031
09.11.2020;22722
10.11.2020;23537
11.11.2020;23314
12.11.2020;22963
13.11.2020;23050
16.11.2020;23037
17.11.2020;23086
18.11.2020;22991
19.11.2020;23034
20.11.2020;22975
23.11.2020;22975
24.11.2020;23338
25.11.2020;23253
26.11.2020;23000
27.11.2020;23078
30.11.2020;23095
01.12.2020;22884
02.12.2020;23168
03.12.2020;23128
04.12.2020;23074
07.12.2020;23408
08.12.2020;23191
09.12.2020;23130
10.12.2020;23042
11.12.2020;22922
14.12.2020;22941
15.12.2020;22986
16.12.2020;22917
17.12.2020;23047
18.12.2020;23295
21.12.2020;23200
22.12.2020;23178
23.12.2020;23069
24.12.2020;23183
25.12.2020;23121
28.12.2020;23142
29.12.2020;23114
30.12.2020;23146
31.12.2020;23146
01.01.2021;23146
04.01.2021;23710
05.01.2021;23839
06.01.2021;24093
07.01.2021;24349
08.01.2021;24661
11.01.2021;24661
12.01.2021;24715
13.01.2021;24924
14.01.2021;24903
15.01.2021;24717
18.01.2021;24824
19.01.2021;24899
20.01.2021;25099
21.01.2021;25462
22.01.2021;25786
25.01.2021;25866
26.01.2021;26515
27.01.2021;25891
28.01.2021;25872
29.01.2021;25277
01.02.2021;25342
02.02.2021;25738
03.02.2021;26272
04.02.2021;26364
05.02.2021;26331
08.02.2021;26558
09.02.2021;26718
10.02.2021;26925
11.02.2021;26925
12.02.2021;27496
15.02.2021;27625
16.02.2021;27722
17.02.2021;27851
18.02.2021;27823
19.02.2021;27183
22.02.2021;27335
23.02.2021;27335
24.02.2021;26290
25.02.2021;25757
26.02.2021;25894
01.03.2021;25139
02.03.2021;25596
03.03.2021;25343
04.03.2021;25874
05.03.2021;25320
08.03.2021;25351
09.03.2021;24570
10.03.2021;24405
11.03.2021;24598
12.03.2021;25184
15.03.2021;25177
16.03.2021;24858
17.03.2021;25110
18.03.2021;25004
19.03.2021;25252
22.03.2021;24769
23.03.2021;24902
24.03.2021;24582
25.03.2021;24166
26.03.2021;24017
29.03.2021;24310
30.03.2021;24153
31.03.2021;24554
01.04.2021;24447
02.04.2021;24870
05.04.2021;24864
06.04.2021;24743
07.04.2021;24706
08.04.2021;24417
09.04.2021;24403
12.04.2021;24130
13.04.2021;24003
14.04.2021;23794
15.04.2021;24046
16.04.2021;23766
19.04.2021;23928
20.04.2021;24135
21.04.2021;24193
22.04.2021;24130
23.04.2021;24141
26.04.2021;24410
27.04.2021;24196
28.04.2021;24432
29.04.2021;24432
30.04.2021;24644
03.05.2021;24644
04.05.2021;24644
05.05.2021;24644
06.05.2021;24103
07.05.2021;22951
10.05.2021;22754
11.05.2021;22726
12.05.2021;22599
13.05.2021;22920
14.05.2021;22539
17.05.2021;22712
18.05.2021;23012
19.05.2021;23111
20.05.2021;23147
21.05.2021;23075
24.05.2021;22957
25.05.2021;22770
26.05.2021;23430
27.05.2021;23677
28.05.2021;23988
31.05.2021;23740
01.06.2021;23870
02.06.2021;24017
03.06.2021;23818
04.06.2021;23640
07.06.2021;23363
08.06.2021;23283
09.06.2021;23092
10.06.2021;23122
11.06.2021;23259
14.06.2021;23145
15.06.2021;23213
16.06.2021;23034
17.06.2021;22858
18.06.2021;22705
21.06.2021;22667
22.06.2021;22373
23.06.2021;22535
24.06.2021;22701
25.06.2021;22694
28.06.2021;23023
29.06.2021;23075
30.06.2021;22908
01.07.2021;23029
02.07.2021;23134
05.07.2021;22638
06.07.2021;22360
07.07.2021;22235
08.07.2021;22256
09.07.2021;21458
12.07.2021;21547
13.07.2021;21838
14.07.2021;22166
15.07.2021;21953
16.07.2021;22165
19.07.2021;22008
20.07.2021;21742
21.07.2021;21695
22.07.2021;21695
23.07.2021;21695
26.07.2021;21526
27.07.2021;20454
28.07.2021;19328
29.07.2021;19679
30.07.2021;20262
02.08.2021;19931
03.08.2021;20213
04.08.2021;20168
05.08.2021;20202
06.08.2021;20045
09.08.2021;20045
10.08.2021;20357
