date;beta1;beta2;beta3;beta4;beta5;beta6;beta7;beta8;beta9;beta10
198005;0.0458;0.0498;0.0575;0.0653;0.0677;0.0794;0.0547;0.0784;0.0797;0.0801
198006;0.0349;0.0302;0.0532;0.0397;0.0308;0.0229;0.0367;0.0409;0.0288;0.0386
198007;0.007;0.0598;0.0561;0.0762;0.0952;0.0945;0.0964;0.1211;0.1231;0.1502
198008;0.0046;0.0166;0.0176;0.0129;0.0155;0.023;0.0596;0.0601;0.066;0.071
198009;-0.0176;0.0251;0.0347;0.0354;0.0412;0.0419;0.0404;0.036;0.0606;0.0573
198010;-0.0165;0.0281;0.0252;0.0165;0.017;0.0109;0.0311;0.0374;0.0247;0.0323
198011;-0.0016;0.107;0.1303;0.1364;0.1147;0.1152;0.1232;0.1151;0.1131;0.1228
198012;0.0326;-0.0277;-0.0386;-0.0442;-0.0346;-0.0488;-0.0557;-0.0157;-0.0366;-0.0449
198101;0.0226;-0.0349;-0.0556;-0.0446;-0.0468;-0.0393;-0.0496;-0.0754;-0.0668;-0.0631
198102;0.0122;0.0219;0.0237;0.015;0.0187;0.0285;0.032;0.0129;-0.0064;-0.0076
198103;0.0327;0.0199;0.0235;0.0375;0.0683;0.0602;0.0647;0.0787;0.1008;0.1314
198104;0.0295;-0.0131;-0.0324;-0.0356;-0.0067;-0.0065;-0.0039;-0.0009;0.0177;0.0242
198105;0.0399;-0.0074;-0.002;-0.0036;0.021;0.0136;0.0107;0.0242;0.0425;0.0618
198106;0.0081;0.006;0.0046;0.0045;-0.0211;-0.0164;-0.0164;-0.0372;-0.0421;-0.0692
198107;0.0046;-0.0286;-0.0387;-0.0244;-0.0115;0.0329;0.0441;0.0108;0.0123;0.0029
198108;-0.0064;-0.0444;-0.0451;-0.0641;-0.053;-0.0618;-0.0681;-0.0794;-0.0808;-0.0925
198109;0.0014;-0.0134;-0.0384;-0.0504;-0.0612;-0.0944;-0.0869;-0.0965;-0.0902;-0.1064
198110;0.0523;0.0613;0.0046;0.0584;0.0402;0.0713;0.0761;0.0887;0.0864;0.144
198111;0.0423;0.046;0.0483;0.0507;0.0571;0.0398;0.062;0.0494;0.0113;0.0043
198112;-0.024;-0.0234;0.005;-0.0226;-0.0292;-0.0333;-0.0515;-0.0304;-0.045;-0.0392
198201;0.0168;0.0078;0.0132;-0.0126;-0.0286;-0.0561;-0.0766;-0.062;-0.0418;-0.0426
198202;-0.0142;-0.0186;-0.024;-0.034;-0.0461;-0.043;-0.1045;-0.085;-0.0791;-0.1022
198203;0.0291;0.0091;0.0063;0.0059;-0.0116;-0.0156;-0.0246;-0.0553;-0.0274;-0.0541
198204;0.022;0.0471;0.0424;0.0448;0.039;0.0428;0.0479;0.0586;0.0627;0.0695
198205;-0.0105;-0.0373;-0.0284;-0.0294;-0.0314;-0.0067;-0.0125;-0.0373;-0.057;-0.0614
198206;-0.0163;0.0079;-0.0046;-0.0163;-0.0184;-0.0525;-0.0306;-0.0439;-0.0132;-0.0524
198207;0.0011;-0.0172;0.0198;-0.0175;-0.0235;-0.037;-0.0595;-0.0338;-0.0693;-0.0394
198208;0.1137;0.1139;0.108;0.1257;0.1226;0.1356;0.1142;0.1277;0.1088;0.137
198209;0.0095;0.0177;0.0344;0.0332;0.0195;0.0116;0.0228;0.0172;0.0124;-0.0068
198210;0.0726;0.1235;0.1117;0.1383;0.1169;0.1134;0.0975;0.1481;0.1584;0.1912
198211;0.0344;0.0575;0.0692;0.0447;0.0497;0.0666;0.0208;0.0528;0.0393;0.1024
198212;0.0117;-0.0056;0.0318;-0.0019;0.0213;0.0021;0.035;0.0105;0.0214;0.0016
198301;0.0529;0.0026;0.0254;0.0294;0.0223;0.0507;0.0482;0.0596;0.0654;0.1091
198302;0.014;0.0314;0.0356;0.051;0.0342;0.0356;0.0421;0.0549;0.0088;0.0244
198303;0.0204;0.0408;0.0305;0.0495;0.0618;0.027;0.0428;0.0288;0.0405;0.0154
198304;0.0457;0.0845;0.0985;0.091;0.0826;0.0498;0.0642;0.0689;0.0709;0.0742
198305;-0.0197;-0.0271;-0.027;0.0156;0.0179;0.0309;0.0252;0.0568;0.0563;0.0752
198306;-0.0128;0.0436;0.0605;0.0253;0.0316;0.0548;0.05;0.0552;0.0545;0.0414
198307;-0.0163;-0.0286;-0.0168;-0.0142;-0.0294;-0.0426;-0.0352;-0.046;-0.0492;-0.0787
198308;0.0214;-0.0043;0.0092;0.0006;0.0032;0.0226;0.0112;-0.006;-0.014;-0.0302
198309;0.0404;0.0271;0.0221;0.0354;0.0172;-0.0023;-0.0008;0.0161;0.0065;-0.0291
198310;0.0108;0.0062;-0.0005;-0.0182;-0.0443;-0.0389;-0.0521;-0.0463;-0.0735;-0.0999
198311;0.013;0.0132;0.0078;0.0338;0.0332;0.0434;0.0466;0.0548;0.0451;0.0633
